,title,overview,len,ger
8916,Antz,"In this animated hit, a neurotic worker ant in love with a rebellious princess rises to unlikely stardom when he switches places with a soldier. Signing up to march in a parade, he ends up under the command of a bloodthirsty general. But he's actually been enlisted to fight against a termite army.",298,"In diesem Animationshit steigt eine neurotische Arbeiterameise, die in eine rebellische Prinzessin verliebt ist, zu einem unwahrscheinlichen Star auf, als sie den Platz mit einem Soldaten tauscht. Als er sich anmeldet, um an einer Parade teilzunehmen, gerät er unter das Kommando eines blutrünstigen Generals. Aber eigentlich wurde er angeworben, um gegen eine Termitenarmee zu kämpfen."
12572,"New York, I Love You","Ten vignettes in New York City: a pickpocket meets his match; a young Hasidic woman, on the eve of her marriage, reveals herself to an Indian businessman; a writer tries a pick-up line; an artist seeks a model; a composer needs to read; two women connect; a man takes a child to Central Park; lovers meet; a couple takes a walk on their anniversary; a kid goes to the prom with a girl in a wheelchair; a retired singer contemplates suicide. There are eight million stories in the naked city: these have been ten of them.",520,Zehn Vignetten in New York City: ein Taschendieb trifft seinen Meister; eine junge chassidische Frau gibt sich am Vorabend ihrer Hochzeit einem indischen Geschäftsmann zu erkennen; ein Schriftsteller versucht sich an einer Anmache; ein Künstler sucht ein Modell; ein Komponist muss lesen; zwei Frauen finden zueinander; ein Mann nimmt ein Kind mit in den Central Park; Verliebte treffen sich; ein Paar macht an seinem Jahrestag einen Spaziergang; ein Junge geht mit einem Mädchen im Rollstuhl zum Abschlussball; ein Sänger im Ruhestand denkt über Selbstmord nach. Es gibt acht Millionen Geschichten in der nackten Stadt: dies waren zehn davon.
8920,Garfield,"Garfield, the fat, lazy, lasagna lover, has everything a cat could want. But when Jon, in an effort to impress the Liz - the vet and an old high-school crush - adopts a dog named Odie and brings him home, Garfield gets the one thing he doesn't want. Competition.",262,"Garfield, der fette, faule Lasagne-Liebhaber, hat alles, was eine Katze sich wünschen kann. Aber als Jon in dem Bemühen, Liz - die Tierärztin und einen alten Highschool-Schwarm - zu beeindrucken, einen Hund namens Odie adoptiert und ihn mit nach Hause bringt, bekommt Garfield das Einzige, was er nicht will. Wettbewerb."
8922,Jeepers Creepers,"A college-age brother and sister get more than they bargained for on their road trip home from spring break. When the bickering siblings witness a creepy truck driver tossing body bags into a sewer near an abandoned church, they investigate. Bad move! Opening a Pandora's Box of unspeakable evil, the pair must flee for their lives -- with a monstrous ""shape"" in hot pursuit.",375,"Ein Geschwisterpaar im College-Alter erlebt auf dem Heimweg von den Frühlingsferien mehr, als sie erwartet haben. Als die zänkischen Geschwister Zeuge werden, wie ein unheimlicher Lastwagenfahrer in der Nähe einer verlassenen Kirche Leichensäcke in einen Abwasserkanal wirft, gehen sie der Sache nach. Schlechte Idee! Die beiden öffnen die Büchse der Pandora mit unaussprechlich Bösem und müssen um ihr Leben fliehen - mit einer monströsen ""Gestalt"" auf den Fersen."
8923,Green Street Hooligans,"After being wrongfully expelled from Harvard University, American Matt Buckner flees to his sister's home in England. Once there, he is befriended by her charming and dangerous brother-in-law, Pete Dunham, and introduced to the underworld of British football hooliganism. Matt learns to stand his ground through a friendship that develops against the backdrop of this secret and often violent world. 'Green Street Hooligans' is a story of loyalty, trust and the sometimes brutal consequences of living close to the edge.",520,"Nachdem er zu Unrecht von der Harvard-Universität verwiesen wurde, flieht der Amerikaner Matt Buckner zu seiner Schwester nach England. Dort freundet er sich mit ihrem charmanten und gefährlichen Schwager, Pete Dunham, an und wird in die Unterwelt des britischen Fußball-Hooliganismus eingeführt. Matt lernt durch eine Freundschaft, die sich vor dem Hintergrund dieser geheimen und oft gewalttätigen Welt entwickelt, seinen Mann zu stehen. Green Street Hooligans"" ist eine Geschichte über Loyalität, Vertrauen und die manchmal brutalen Konsequenzen eines Lebens am Rande des Abgrunds."
204922,Before I Go to Sleep,"A woman wakes up every day, remembering nothing as a result of a traumatic accident in her past. One day, new terrifying truths emerge that force her to question everyone around her.",182,"Eine Frau wacht jeden Tag auf und kann sich an nichts mehr erinnern, weil sie in ihrer Vergangenheit einen traumatischen Unfall hatte. Eines Tages tauchen neue, erschreckende Wahrheiten auf, die sie zwingen, alle um sie herum zu hinterfragen."
82654,Warm Bodies,"After a zombie becomes involved with the girlfriend of one of his victims, their romance sets in motion a sequence of events that might transform the entire lifeless world.",172,"Nachdem sich ein Zombie mit der Freundin eines seiner Opfer eingelassen hat, setzt ihre Romanze eine Abfolge von Ereignissen in Gang, die die gesamte leblose Welt verändern könnte."
74465,We Bought a Zoo,"Benjamin has lost his wife. In a bid to start his life over, he purchases a large house that has a zoo. This is welcome news for his daughter, but his son is not happy about it. The zoo is need of renovation and Benjamin sets about the work with the head keeper, Kelly, and the rest of the zoo staff. But, the zoo soon runs into financial trouble. The staff must get the zoo back to its former glory, pass a zoo inspection, and get it back open to the public.",459,"Benjamin hat seine Frau verloren. Um sein Leben neu zu beginnen, kauft er ein großes Haus mit einem Zoo. Für seine Tochter ist das eine willkommene Nachricht, aber sein Sohn ist nicht glücklich darüber. Der Zoo muss renoviert werden, und Benjamin macht sich zusammen mit der Tierpflegerin Kelly und dem restlichen Personal an die Arbeit. Doch schon bald gerät der Zoo in finanzielle Schwierigkeiten. Die Mitarbeiter müssen den Zoo wieder auf Vordermann bringen, eine Inspektion des Zoos bestehen und ihn wieder für die Öffentlichkeit zugänglich machen."
744,Top Gun,"For Lieutenant Pete Mitchell and his friend and Co-Pilot Nick Bradshaw being accepted into an elite training school for fighter pilots is a dream come true.  A tragedy, as well as personal demons, threaten Pete's dreams of becoming an Ace pilot.",245,"Für Leutnant Pete Mitchell und seinen Freund und Co-Piloten Nick Bradshaw wird mit der Aufnahme in eine Eliteschule für Kampfpiloten ein Traum wahr.  Eine Tragödie sowie persönliche Dämonen bedrohen Petes Träume, ein Flieger-Ass zu werden."
745,The Sixth Sense,"A psychological thriller about an eight year old boy named Cole Sear who believes he can see into the world of the dead. A child psychologist named Malcolm Crowe comes to Cole to help him deal with his problem, learning that he really can see ghosts of dead people.",265,"Ein psychologischer Thriller über einen achtjährigen Jungen namens Cole Sear, der glaubt, er könne in die Welt der Toten sehen. Ein Kinderpsychologe namens Malcolm Crowe kommt zu Cole, um ihm zu helfen, mit seinem Problem umzugehen, und erfährt, dass er tatsächlich Geister von Toten sehen kann."
746,The Last Emperor,"A dramatic history of Pu Yi, the last of the Emperors of China, from his lofty birth and brief reign in the Forbidden City, the object of worship by half a billion people; through his abdication, his decline and dissolute lifestyle; his exploitation by the invading Japanese, and finally to his obscure existence as just another peasant worker in the People's Republic.",369,"Eine dramatische Geschichte von Pu Yi, dem letzten Kaiser Chinas, von seiner erhabenen Geburt und seiner kurzen Herrschaft in der Verbotenen Stadt, die von einer halben Milliarde Menschen verehrt wurde, über seine Abdankung, seinen Niedergang und seinen ausschweifenden Lebensstil, seine Ausbeutung durch die einmarschierenden Japaner bis hin zu seinem obskuren Dasein als einfacher Landarbeiter in der Volksrepublik."
747,Shaun of the Dead,Shaun of the Dead is a humorous homage to Zombie movies from director Edgar Wright; an outrageous romantic comedy with zombies.,127,Shaun of the Dead ist eine humorvolle Hommage an die Zombiefilme von Regisseur Edgar Wright; eine unerhörte romantische Komödie mit Zombies.
17134,12 Rounds,"When New Orleans cop Danny Fisher prevents a brilliant thief from successfully carrying out his latest heist, the thief's girlfriend is accidentally killed. Hungry for revenge, the criminal mastermind breaks out of prison and kidnaps Danny's fiancee. To save her, Danny must successfully navigate his way through an elaborate series of tasks and puzzles, or else watch the love of his life die.",394,"Als der Polizist Danny Fisher aus New Orleans einen genialen Dieb daran hindert, seinen letzten Raub erfolgreich durchzuführen, wird die Freundin des Diebes versehentlich getötet. Aus Rache bricht das kriminelle Superhirn aus dem Gefängnis aus und entführt Dannys Verlobte. Um sie zu retten, muss Danny sich erfolgreich durch eine Reihe von Aufgaben und Rätseln schlagen, oder er muss zusehen, wie die Liebe seines Lebens stirbt."
752,V for Vendetta,"In a world in which Great Britain has become a fascist state, a masked vigilante known only as ""V"" conducts guerrilla warfare against the oppressive British government. When ""V"" rescues a young woman from the secret police, he finds in her an ally with whom he can continue his fight to free the people of Britain.",314,"In einer Welt, in der Großbritannien zu einem faschistischen Staat geworden ist, führt ein maskierter Bürgerwehrler, der nur als ""V"" bekannt ist, einen Guerillakrieg gegen die unterdrückerische britische Regierung. Als ""V"" eine junge Frau vor der Geheimpolizei rettet, findet er in ihr eine Verbündete, mit der er seinen Kampf für die Befreiung der Menschen in Großbritannien fortsetzen kann."
146216,RED 2,Retired C.I.A. agent Frank Moses reunites his unlikely team of elite operatives for a global quest to track down a missing portable nuclear device.,147,"Der pensionierte CIA-Agent Frank Moses bringt sein ungleiches Team von Elite-Agenten wieder zusammen, um eine verschwundene tragbare Atombombe aufzuspüren."
754,Face/Off,"An antiterrorism agent goes under the knife to acquire the likeness of a terrorist and gather details about a bombing plot. When the terrorist escapes custody, he undergoes surgery to look like the agent so he can get close to the agent's family.",246,"Ein Anti-Terror-Agent muss sich unters Messer legen, um die Gestalt eines Terroristen anzunehmen und Details über einen Bombenanschlag zu erfahren. Als der Terrorist aus dem Gewahrsam entkommt, unterzieht er sich einer Operation, um wie der Agent auszusehen, damit er sich der Familie des Agenten nähern kann."
755,From Dusk Till Dawn,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",334,"Seth Gecko und sein jüngerer Bruder Richard sind nach einem blutigen Banküberfall in Texas auf der Flucht. Sie fliehen über die Grenze nach Mexiko und werden am nächsten Morgen frei sein, wenn sie den dortigen Königsmacher auszahlen. Sie müssen nur ""von der Abenddämmerung bis zum Morgengrauen"" am Treffpunkt überleben, der sich als höllisches Striplokal entpuppt."
